Model probability	Spectral learning probability
1.510115e-52	1.459424e-52	[7, 0, 1, 2, 5, 0, 1, 0, 4, 0, 1, 7, 4, 4, 5, 1, 2, 5, 1, 2, 2, 1, 6, 0, 1, 1, 7, 6, 6, 0, 7, 1, 6, 7, 0, 6, 5, 3, 6, 6, 0, 2, 6, 3, 6, 0, 6, 1, 2, 1, 3, 5, 1, 0, 6, 7, 0, 1]
2.478418e-08	2.567994e-08	[0, 3, 6, 6, 7, 0, 6, 2, 5]
9.080529e-31	7.906139e-31	[5, 0, 7, 6, 1, 3, 7, 1, 0, 6, 0, 2, 2, 4, 2, 4, 2, 0, 6, 0, 3, 2, 6, 3, 2, 0, 6, 0, 6, 6, 0, 4, 4, 2, 6]
3.989205e-09	4.490246e-09	[1, 2, 7, 2, 5, 4, 7, 3, 7]
1.164733e-89	9.328222e-90	[0, 3, 5, 3, 7, 4, 4, 0, 3, 4, 4, 2, 0, 0, 7, 5, 3, 1, 7, 0, 4, 0, 1, 7, 1, 7, 0, 7, 1, 1, 4, 7, 7, 6, 0, 3, 0, 0, 3, 6, 3, 6, 6, 7, 5, 2, 7, 0, 6, 5, 3, 2, 7, 1, 1, 7, 2, 6, 0, 1, 4, 1, 7, 2, 5, 6, 7, 4, 4, 1, 1, 6, 7, 3, 6, 1, 5, 6, 6, 4, 2, 7, 3, 5, 6, 2, 7, 4, 1, 2, 7, 5, 0, 1, 4, 7, 1, 3]
8.143388e-19	9.147519e-19	[5, 0, 7, 2, 3, 4, 2, 3, 6, 6, 7, 7, 6, 0, 6, 6, 0, 3, 2, 2, 2]
2.641502e-23	2.581489e-23	[0, 4, 7, 5, 5, 7, 5, 1, 2, 4, 7, 6, 6, 6, 5, 4, 4, 0, 7, 4, 2, 0, 0, 7, 4]
7.898679e-35	7.446272e-35	[1, 6, 0, 6, 2, 0, 4, 0, 5, 5, 2, 0, 7, 0, 6, 2, 2, 6, 0, 7, 0, 0, 5, 1, 5, 6, 6, 7, 3, 6, 1, 2, 3, 7, 2, 1, 4, 5, 6]
9.555302e-56	9.603364e-56	[0, 6, 2, 6, 6, 7, 2, 7, 0, 4, 0, 3, 3, 6, 7, 5, 7, 5, 0, 0, 2, 3, 0, 2, 6, 1, 4, 6, 4, 6, 6, 5, 1, 6, 3, 6, 0, 0, 7, 2, 2, 4, 7, 1, 5, 0, 2, 3, 0, 6, 1, 1, 6, 4, 1, 4, 5, 2, 6, 4, 6, 3]
3.916446e-11	4.737867e-11	[4, 3, 6, 5, 7, 1, 4, 6, 6, 4, 1]
1.459586e-50	1.384806e-50	[2, 6, 6, 3, 2, 2, 5, 6, 7, 6, 1, 3, 1, 0, 3, 6, 4, 4, 0, 6, 0, 2, 2, 0, 4, 2, 4, 1, 5, 6, 2, 6, 7, 0, 7, 5, 1, 4, 0, 7, 2, 5, 2, 3, 6, 2, 5, 0, 2, 3, 6, 0, 6, 7, 0, 6, 0]
2.445702e-51	2.300097e-51	[2, 4, 7, 2, 0, 0, 6, 0, 3, 3, 3, 0, 7, 1, 0, 7, 0, 5, 5, 7, 6, 4, 3, 0, 5, 1, 7, 3, 0, 3, 6, 2, 6, 7, 4, 2, 5, 5, 2, 7, 6, 0, 4, 2, 6, 6, 2, 2, 0, 7, 5, 2, 7, 7, 3, 5, 7]
2.150772e-27	1.896808e-27	[0, 5, 7, 0, 7, 7, 1, 7, 3, 3, 1, 7, 6, 5, 7, 6, 1, 2, 5, 1, 7, 1, 1, 1, 7, 1, 1, 6, 0]
1.325877e-24	1.500838e-24	[3, 7, 3, 7, 6, 6, 0, 6, 0, 7, 4, 0, 1, 3, 0, 6, 3, 7, 4, 7, 0, 2, 2, 1, 4, 2, 3]
4.595509e-35	4.327448e-35	[7, 7, 1, 7, 0, 0, 6, 0, 5, 5, 4, 1, 7, 3, 6, 0, 0, 3, 0, 6, 3, 5, 0, 0, 1, 3, 1, 2, 6, 7, 4, 4, 2, 2, 0, 2, 0, 6, 6]
