2.461137e-02,0.000000e+00,0.000000e+00
4.475942e-02,0.000000e+00,0.000000e+00
6.576508e-02,0.000000e+00,0.000000e+00
8.450057e-02,0.000000e+00,0.000000e+00
1.065991e-01,1.000000e+00,1.000000e-04
1.292177e-01,1.000000e+00,1.000000e-04
1.545077e-01,1.000000e+00,1.000000e-04
1.843854e-01,5.000000e+00,5.000000e-04
2.127521e-01,1.600000e+01,1.600000e-03
2.435287e-01,3.500000e+01,3.500000e-03
2.769761e-01,6.400000e+01,6.400000e-03
3.104288e-01,1.070000e+02,1.070000e-02
3.492895e-01,1.870000e+02,1.870000e-02
3.857618e-01,2.840000e+02,2.840000e-02
4.224168e-01,3.760000e+02,3.760000e-02
4.664778e-01,4.870000e+02,4.870000e-02
5.142785e-01,6.500000e+02,6.500000e-02
5.574930e-01,7.970000e+02,7.970000e-02
6.072374e-01,9.500000e+02,9.500000e-02
6.616797e-01,1.117000e+03,1.117000e-01
7.126139e-01,1.305000e+03,1.305000e-01
7.638633e-01,1.451000e+03,1.451000e-01
8.172538e-01,1.615000e+03,1.615000e-01
8.808481e-01,1.733000e+03,1.733000e-01
9.428616e-01,1.912000e+03,1.912000e-01
1.006720e+00,2.031000e+03,2.031000e-01
1.067197e+00,2.193000e+03,2.193000e-01
1.132127e+00,2.295000e+03,2.295000e-01
1.197983e+00,2.453000e+03,2.453000e-01
1.274829e+00,2.576000e+03,2.576000e-01
1.342283e+00,2.677000e+03,2.677000e-01
1.424175e+00,2.813000e+03,2.813000e-01
1.507201e+00,2.907000e+03,2.907000e-01
1.589390e+00,3.030000e+03,3.030000e-01
1.670986e+00,3.086000e+03,3.086000e-01
1.768056e+00,3.181000e+03,3.181000e-01
1.859662e+00,3.332000e+03,3.332000e-01
1.954591e+00,3.432000e+03,3.432000e-01
2.068519e+00,3.552000e+03,3.552000e-01
2.167115e+00,3.612000e+03,3.612000e-01
2.256160e+00,3.668000e+03,3.668000e-01
2.371151e+00,3.675000e+03,3.675000e-01
2.475392e+00,3.719000e+03,3.719000e-01
2.581070e+00,3.776000e+03,3.776000e-01
2.703364e+00,3.842000e+03,3.842000e-01
2.816937e+00,3.906000e+03,3.906000e-01
2.925955e+00,3.942000e+03,3.942000e-01
3.066959e+00,3.953000e+03,3.953000e-01
3.198138e+00,4.006000e+03,4.006000e-01
3.343489e+00,4.013000e+03,4.013000e-01
3.475315e+00,4.059000e+03,4.059000e-01
3.612937e+00,4.118000e+03,4.118000e-01
3.777488e+00,4.167000e+03,4.167000e-01
3.948827e+00,4.215000e+03,4.215000e-01
4.087922e+00,4.224000e+03,4.224000e-01
4.242771e+00,4.266000e+03,4.266000e-01
4.412884e+00,4.286000e+03,4.286000e-01
4.581618e+00,4.329000e+03,4.329000e-01
4.783677e+00,4.336000e+03,4.336000e-01
4.976770e+00,4.373000e+03,4.373000e-01
5.140337e+00,4.414000e+03,4.414000e-01
5.324615e+00,4.469000e+03,4.469000e-01
5.540591e+00,4.468000e+03,4.468000e-01
5.773226e+00,4.440000e+03,4.440000e-01
6.003803e+00,4.512000e+03,4.512000e-01
6.272175e+00,4.518000e+03,4.518000e-01
6.524089e+00,4.537000e+03,4.537000e-01
6.776909e+00,4.611000e+03,4.611000e-01
7.011504e+00,4.531000e+03,4.531000e-01
7.319971e+00,4.590000e+03,4.590000e-01
7.594146e+00,4.581000e+03,4.581000e-01
7.902628e+00,4.565000e+03,4.565000e-01
8.197296e+00,4.595000e+03,4.595000e-01
8.519744e+00,4.630000e+03,4.630000e-01
8.889702e+00,4.648000e+03,4.648000e-01
9.301299e+00,4.713000e+03,4.713000e-01
9.770986e+00,4.679000e+03,4.679000e-01
1.009268e+01,4.706000e+03,4.706000e-01
1.060791e+01,4.679000e+03,4.679000e-01
1.109630e+01,4.737000e+03,4.737000e-01
1.159227e+01,4.725000e+03,4.725000e-01
1.207782e+01,4.697000e+03,4.697000e-01
1.254235e+01,4.721000e+03,4.721000e-01
1.317742e+01,4.676000e+03,4.676000e-01
1.378451e+01,4.661000e+03,4.661000e-01
1.457899e+01,4.677000e+03,4.677000e-01
1.536375e+01,4.711000e+03,4.711000e-01
1.632337e+01,4.734000e+03,4.734000e-01
1.744066e+01,4.792000e+03,4.792000e-01
1.871230e+01,4.805000e+03,4.805000e-01
1.991756e+01,4.828000e+03,4.828000e-01
2.140013e+01,4.846000e+03,4.846000e-01
2.396281e+01,4.880000e+03,4.880000e-01
2.640391e+01,4.897000e+03,4.897000e-01
2.928551e+01,4.946000e+03,4.946000e-01
3.353689e+01,4.909000e+03,4.909000e-01
3.840911e+01,4.953000e+03,4.953000e-01
4.646999e+01,4.895000e+03,4.895000e-01
8.593095e+01,4.995000e+03,4.995000e-01
1.744442e+02,5.013000e+03,5.013000e-01
