Model prob	Pred prob	Error	Seq
0.00557236823825	0.00411325402038	-0.00145911421787	4
0.00389318616573	0.00384387294478	-4.9313220945e-05	4
0.00485900101943	0.00395725551324	-0.000901745506182	4
0.00597203781881	0.00396000119213	-0.00201203662668	4
0.00380743236265	0.00376655725057	-4.08751120824e-05	4
0.00282155177572	0.00386687431782	0.0010453225421	4
0.00350639585484	0.00393355463008	0.000427158775242	4
0.0040723187007	0.00371845071133	-0.000353867989378	4
0.00480252768519	0.00392055379631	-0.000881973888882	4
0.00379744801154	0.00426155960894	0.000464111597401	4
0.0038433582276	0.00358878222506	-0.000254576002539	4
0.005205888686	0.00393273295213	-0.00127315573387	4
0.00599682305029	0.00404909310907	-0.00194772994122	4
0.00413185243148	0.00389625380925	-0.000235598622227	4
0.00521172171551	0.00405421373284	-0.00115750798267	4
0.00641842766344	0.00404791235471	-0.00237051530873	4
0.00380219177708	0.00378560808503	-1.65836920471e-05	4
0.00269101282526	0.00364032649297	0.000949313667711	4
0.00340043501734	0.00377015627079	0.000369721253451	4
0.00407181478747	0.00376130977967	-0.000310505007801	4
0.00274441297241	0.00371518237825	0.000970769405838	4
0.00206073851224	0.0038158836173	0.00175514510506	4
0.00263779108051	0.00398851275379	0.00135072167328	4
0.00292879660434	0.00367516412349	0.000746367519155	4
0.00345273327078	0.00385294079501	0.000400207524226	4
0.00274226294045	0.00421359764241	0.00147133470196	4
0.00283064722975	0.00355348633221	0.000722839102456	4
0.0037380288961	0.00388891656115	0.00015088766505	4
0.00408121441948	0.00375605554626	-0.000325158873221	4
0.00285235423952	0.00362080636968	0.000768452130159	4
0.00364867940212	0.00379960726633	0.000150927864208	4
0.00436435706471	0.00376600698834	-0.000598350076374	4
0.00480670145366	0.00395174416515	-0.000854957288513	4
0.0034057672976	0.00380298190053	0.000397214602932	4
0.00461027699871	0.00422917805355	-0.000381098945162	4
0.00512220107137	0.00389285407692	-0.00122934699446	4
0.00363723060826	0.00404467676396	0.000407446155707	4
0.00273762564924	0.00417766385598	0.00144003820674	4
0.00399846768132	0.00502587889558	0.00102741121426	4
0.0038413098098	0.00399392001764	0.000152610207842	4
0.00373681364511	0.00344066404175	-0.000296149603356	4
0.00293948020009	0.00367174744412	0.000732267244038	4
0.00354859459911	0.0036588929782	0.000110298379085	4
0.00400596469733	0.00341090497259	-0.000595059724741	4
0.00522202896025	0.00398973613488	-0.00123229282537	4
0.00366173760149	0.00380088007062	0.000139142469139	4
0.00502343713587	0.00428008896787	-0.000743348167997	4
0.00555602463597	0.00393413815393	-0.00162188648203	4
0.00599738031695	0.00409593220265	-0.0019014481143	4
0.00418697343638	0.00385631307338	-0.000330660363007	4
0.00520187651878	0.00394417927031	-0.00125769724847	4
0.00642991151885	0.00404077054569	-0.00238914097317	4
0.00404884561747	0.00371732932107	-0.000331516296406	4
0.00299564397876	0.00377061502229	0.000774971043536	4
0.00368171155065	0.00378172476804	0.000100013217387	4
0.00433417163588	0.0037015007466	-0.000632670889279	4
0.00515424262709	0.00394690034263	-0.00120734228446	4
0.00407440256431	0.00426069362385	0.000186291059537	4
0.00409078728568	0.00350903880464	-0.000581748481044	4
0.00559003469526	0.00396673688392	-0.00162329781134	4
0.0064468627819	0.00408041673479	-0.00236644604711	4
0.00443758224589	0.00384080267894	-0.000596779566949	4
0.0055695678524	0.00399174222527	-0.00157782562712	4
0.00690282824979	0.00409120047493	-0.00281162777486	4
0.00392424231034	0.00395462032912	3.03780187858e-05	4
0.00274868555972	0.00371320371815	0.000964518158433	4
0.00343190637091	0.00382852481153	0.000396618440617	4
0.00420546905921	0.00381465934153	-0.000390809717682	4
0.00271888657587	0.00368223316584	0.000963346589966	4
0.00202109700086	0.00378962935165	0.00176853235078	4
0.00251632708678	0.00387982117471	0.00136349408793	4
0.00290747861516	0.00363057479325	0.000723096178088	4
0.00345152764712	0.00382571689442	0.000374189247301	4
0.0027333626826	0.00417180371094	0.00143844102834	4
0.00276354444896	0.00352154146847	0.000757997019508	4
0.00374140173441	0.00384258024639	0.00010117851198	4
0.00422136950247	0.00388874628946	-0.00033262321301	4
0.0029165624923	0.00376156558415	0.000845003091851	4
0.00368165048991	0.0039177306969	0.000236080206986	4
0.00451780616066	0.00388874436167	-0.000629061798997	4
0.00283543937461	0.00382874954194	0.000993310167331	4
0.0020139715855	0.00375128239061	0.00173731080512	4
0.00253832386817	0.00388259700069	0.00134427313251	4
0.00303698727716	0.00391543745537	0.000878450178203	4
